rank,matrix,P,local_nnz,local_rows,kernel_ms,comm_ms,comm_vol_MB,mem_MB,bandwidth_GBs,gflops
0,ASIC_680ks,1,2329176,682712,0.0262,0.0,2.73,33.41,1525.6036,177.6803
0,ASIC_680ks,2,1165873,341356,0.0194,2.0716,2.73,18.09,1033.7861,120.4096
1,ASIC_680ks,2,1163303,341356,0.0196,2.0716,2.73,18.06,1019.6326,118.7432
0,ASIC_680ks,4,582785,170678,0.0391,9.8697,2.73,10.41,256.0987,29.8284
1,ASIC_680ks,4,581675,170678,0.039,13.0964,2.73,10.39,256.4507,29.8655
2,ASIC_680ks,4,583088,170678,0.038,12.9565,2.73,10.41,263.6856,30.7132
3,ASIC_680ks,4,581628,170678,0.0391,9.867,2.73,10.39,255.625,29.7692
0,Rucci1,1,7791168,1977885,0.0604,0.0,0.44,101.85,2194.3597,257.9256
0,Rucci1,2,3895584,988943,0.0408,2.0997,0.44,51.14,1626.6255,191.1939
1,Rucci1,2,3895584,988942,0.0409,2.0996,0.44,51.14,1620.8468,190.5147
0,Rucci1,4,1947792,494472,0.0838,3.8073,0.44,25.79,395.3797,46.473
1,Rucci1,4,1947794,494471,0.0831,3.8206,0.44,25.79,398.5937,46.8508
2,Rucci1,4,1947792,494471,0.0821,3.8066,0.44,25.79,403.5633,47.4349
3,Rucci1,4,1947790,494471,0.0831,3.8197,0.44,25.79,398.5929,46.8507
0,bone010,1,71666325,986703,2.7985,0.0001,3.95,867.89,411.1553,51.2181
0,bone010,2,35833350,493352,4.7507,2.7981,3.95,435.92,121.0993,15.0855
1,bone010,2,35832975,493351,5.0737,2.7982,3.95,435.92,113.3881,14.1249
0,bone010,4,17915988,246676,2.9108,5.1052,3.95,219.93,98.819,12.31
1,bone010,4,17913681,246676,2.9279,5.0994,3.95,219.9,98.2306,12.2367
2,bone010,4,17917362,246676,2.927,5.0997,3.95,219.94,98.2782,12.2426
3,bone010,4,17919294,246675,3.0039,5.104,3.95,219.97,95.7732,11.9306
0,boyd2,1,1500397,466316,0.2968,0.0,1.87,21.74,87.1676,10.1104
0,boyd2,2,744704,233158,0.148,2.126,1.87,11.73,86.836,10.0666
1,boyd2,2,755693,233158,0.148,2.1259,1.87,11.87,88.0171,10.2143
0,boyd2,4,325215,116579,0.0491,8.8558,1.87,6.23,115.3996,13.2385
1,boyd2,4,429464,116579,0.3299,6.8246,1.87,7.49,22.2429,2.6037
2,boyd2,4,419489,116579,0.3196,6.8243,1.87,7.37,22.4619,2.6253
3,boyd2,4,326229,116579,0.0525,8.8523,1.87,6.25,108.3668,12.4349
0,eu-2005,1,19235140,862664,0.5761,0.0001,3.45,237.72,540.2017,66.7765
0,eu-2005,2,9608613,431332,0.2605,2.1958,3.45,120.48,596.8553,73.7789
1,eu-2005,2,9626527,431332,0.2614,2.1957,3.45,120.69,595.7177,73.6398
0,eu-2005,4,4803691,215666,0.6048,5.0602,3.45,61.96,128.5049,15.8848
1,eu-2005,4,4809856,215666,0.6118,5.1024,3.45,62.03,127.1907,15.7226
2,eu-2005,4,4804922,215666,0.5958,5.1023,3.45,61.97,130.477,16.1286
3,eu-2005,4,4816671,215666,0.6144,5.0593,3.45,62.11,126.8382,15.6793
0,hollywood-2009,1,113891327,1139905,17.4036,0.0002,4.56,1375.82,104.968,13.0883
0,hollywood-2009,2,56893802,569953,8.4395,2.8588,4.56,689.57,108.1315,13.4827
1,hollywood-2009,2,56997525,569952,8.4607,2.8588,4.56,690.81,108.0576,13.4735
0,hollywood-2009,4,28418936,284977,11.412,5.733,4.56,346.73,39.9441,4.9805
1,hollywood-2009,4,28505311,284976,12.0046,5.6836,4.56,347.76,38.0875,4.7491
2,hollywood-2009,4,28474866,284976,11.7556,5.6835,4.56,347.4,38.8526,4.8445
3,hollywood-2009,4,28492214,284976,12.1581,5.7312,4.56,347.61,37.5895,4.687
0,ldoor,1,46522475,952203,1.5128,0.0001,3.81,565.89,494.5665,61.5061
0,ldoor,2,23266643,476102,0.7231,2.1342,3.81,284.91,517.4219,64.3485
1,ldoor,2,23255832,476101,0.7218,2.1341,3.81,284.78,518.1342,64.437
0,ldoor,4,11632618,238051,1.5985,5.0917,3.81,144.35,117.0322,14.5546
1,ldoor,4,11627004,238051,1.6188,5.1639,3.81,144.29,115.5108,14.3653
2,ldoor,4,11634025,238051,1.5736,5.1632,3.81,144.37,118.9002,14.7869
3,ldoor,4,11628828,238050,1.6134,5.0908,3.81,144.31,115.9145,14.4155
0,nlpkkt80,1,28704672,1062400,0.7601,0.0,4.25,352.96,609.8101,75.5274
0,nlpkkt80,2,14352336,531200,0.3507,2.3177,4.25,178.6,660.8412,81.8478
1,nlpkkt80,2,14352336,531200,0.3509,2.3177,4.25,178.6,660.4097,81.7944
0,nlpkkt80,4,7175216,265600,0.7232,5.2096,4.25,91.41,160.2059,19.8421
1,nlpkkt80,4,7177120,265600,0.734,5.2987,4.25,91.44,157.9006,19.5566
2,nlpkkt80,4,7177120,265600,0.717,5.2984,4.25,91.44,161.6303,20.0186
3,nlpkkt80,4,7175216,265600,0.7278,5.2084,4.25,91.41,159.2006,19.7176
0,rajat31,1,20316253,4690002,0.4106,0.0,18.76,281.32,837.2785,98.9492
0,rajat31,2,10157502,2345001,0.2058,3.2975,18.76,150.03,835.1953,98.7027
1,rajat31,2,10158751,2345001,0.2054,3.2975,18.76,150.05,836.9111,98.9061
0,rajat31,4,5078127,1172501,0.1789,11.1551,18.76,84.39,480.4546,56.7794
1,rajat31,4,5079377,1172501,0.1811,11.1946,18.76,84.4,474.5893,56.0869
2,rajat31,4,5079375,1172500,0.1792,11.1939,18.76,84.4,479.7423,56.6959
3,rajat31,4,5079374,1172500,0.1803,11.1543,18.76,84.4,476.7452,56.3417
0,webbase-1M,1,3105536,1000005,0.1044,0.0,4.0,45.27,514.4383,59.5138
0,webbase-1M,2,1540872,500003,0.173,3.126,4.0,24.49,154.074,17.8141
1,webbase-1M,2,1564664,500002,0.2126,3.1261,4.0,24.78,127.1847,14.722
0,webbase-1M,4,764903,250002,0.0729,13.733,4.0,14.18,181.6266,20.9884
1,webbase-1M,4,781981,250001,0.1102,10.7858,4.0,14.38,122.6531,14.1969
