matrix,P,nnz,nrows,max_kernel_ms,max_comm_ms,total_ms,comm_pct,agg_gflops,nnz_min,nnz_avg,nnz_max,nnz_imbalance,speedup_total,efficiency_total,speedup_kernel,efficiency_kernel,gpu,gpu_p1,correct
ASIC_680ks,1,2329176,682712,0.0262,0.0,0.0263,0.1,177.6803,2329176,2329176.0,2329176,0.0,1.0,1.0,1.0,1.0,NVIDIA L40S,NVIDIA L40S,PASSED
ASIC_680ks,2,2329176,682712,0.0196,2.0716,2.0912,99.1,237.7487,1163303,1164588.0,1165873,0.22,0.0126,0.0063,1.3367,0.6683,NVIDIA L40S,NVIDIA L40S,PASSED
ASIC_680ks,4,2329176,682712,0.0391,13.0964,13.1355,99.7,119.2131,581628,582294.0,583088,0.25,0.002,0.0005,0.6701,0.1675,NVIDIA A30,NVIDIA L40S,PASSED
Rucci1,1,7791168,1977885,0.0604,0.0,0.0605,0.1,257.9256,7791168,7791168.0,7791168,0.0,1.0,1.0,1.0,1.0,NVIDIA L40S,NVIDIA L40S,PASSED
Rucci1,2,7791168,1977885,0.0409,2.0997,2.1406,98.1,381.0294,3895584,3895584.0,3895584,0.0,0.0283,0.0141,1.4768,0.7384,NVIDIA L40S,NVIDIA L40S,PASSED
Rucci1,4,7791168,1977885,0.0838,3.8206,3.9044,97.9,185.8921,1947790,1947792.0,1947794,0.0,0.0155,0.0039,0.7208,0.1802,NVIDIA A30,NVIDIA L40S,PASSED
bone010,1,71666325,986703,2.7985,0.0001,2.7985,0.0,51.2181,71666325,71666325.0,71666325,0.0,1.0,1.0,1.0,1.0,NVIDIA L40S,NVIDIA L40S,PASSED
bone010,2,71666325,986703,5.0737,2.7982,7.8719,35.5,28.2499,35832975,35833162.0,35833350,0.0,0.3555,0.1777,0.5516,0.2758,NVIDIA A30,NVIDIA L40S,PASSED
bone010,4,71666325,986703,3.0039,5.1052,8.1091,63.0,47.7151,17913681,17916581.0,17919294,0.03,0.3451,0.0863,0.9316,0.2329,NVIDIA A30,NVIDIA L40S,PASSED
boyd2,1,1500397,466316,0.2968,0.0,0.2968,0.0,10.1104,1500397,1500397.0,1500397,0.0,1.0,1.0,1.0,1.0,NVIDIA L40S,NVIDIA L40S,PASSED
